X,Y,Red,NIR,Class
265,35,523.0,1161.0,1
270,35,410.0,1337.0,1
275,35,1184.0,2049.0,0
280,35,501.0,1160.0,1
285,35,623.0,1262.0,1
290,35,659.0,1422.0,1
295,35,711.0,1700.0,1
300,35,848.0,1948.0,1
10,40,771.0,1752.0,1
15,40,914.0,1788.0,1
20,40,1355.0,2158.0,0
25,40,639.0,1614.0,1
30,40,482.0,1739.0,1
35,40,511.0,1527.0,1
40,40,1104.0,2147.0,1
45,40,232.0,355.0,0
50,40,1062.0,2376.0,1
55,40,644.0,863.0,0
60,40,844.0,1893.0,1
65,40,1454.0,2421.0,0
70,40,922.0,3405.0,1
75,40,884.0,2269.0,1
80,40,668.0,1672.0,1
85,40,564.0,1995.0,1
90,40,632.0,1536.0,1
95,40,860.0,2187.0,1
100,40,252.0,493.0,1
105,40,998.0,2800.0,1
110,40,1372.0,1843.0,0
115,40,189.0,247.0,0
120,40,446.0,816.0,0
125,40,272.0,628.0,1
130,40,369.0,593.0,0
135,40,1078.0,1431.0,0
140,40,1105.0,2041.0,0
145,40,718.0,1731.0,1
150,40,789.0,2854.0,1
155,40,642.0,1614.0,1
160,40,1787.0,2968.0,0
165,40,997.0,1638.0,0
170,40,882.0,1634.0,0
175,40,773.0,1994.0,1
180,40,744.0,1703.0,1
185,40,516.0,1589.0,1
190,40,355.0,405.0,0
195,40,4182.0,4481.0,0
200,40,2769.0,2635.0,0
205,40,3018.0,3027.0,0
210,40,1696.0,2441.0,0
215,40,4868.0,4542.0,0
220,40,782.0,2651.0,1
225,40,802.0,1801.0,1
230,40,1011.0,1673.0,0
235,40,1389.0,2145.0,0
240,40,1125.0,1052.0,0
245,40,725.0,824.0,0
250,40,5322.0,4982.0,0
255,40,531.0,610.0,0
260,40,1567.0,2090.0,0
265,40,638.0,1200.0,0
270,40,501.0,1124.0,1
275,40,495.0,1708.0,1
280,40,346.0,1085.0,1
285,40,366.0,1031.0,1
290,40,457.0,1284.0,1
295,40,592.0,1512.0,1
300,40,713.0,1297.0,0
10,45,1025.0,2024.0,1
15,45,549.0,2052.0,1
20,45,634.0,1794.0,1
25,45,1025.0,1410.0,0
30,45,1450.0,2016.0,0
35,45,1642.0,1787.0,0
40,45,2002.0,2629.0,0
45,45,3097.0,3283.0,0
50,45,464.0,1211.0,1
55,45,467.0,727.0,0
60,45,404.0,1501.0,1
65,45,401.0,1095.0,1
70,45,490.0,1095.0,1
75,45,750.0,2299.0,1
80,45,482.0,1336.0,1
85,45,748.0,2055.0,1
90,45,629.0,2074.0,1
95,45,555.0,1834.0,1
100,45,171.0,213.0,0
105,45,170.0,200.0,0
110,45,995.0,1643.0,0
115,45,185.0,199.0,0
120,45,405.0,651.0,0
125,45,294.0,672.0,1
130,45,511.0,1666.0,1
135,45,373.0,1137.0,1
140,45,387.0,1191.0,1
145,45,474.0,804.0,0
150,45,530.0,1526.0,1
155,45,760.0,1582.0,1
160,45,269.0,490.0,0
165,45,561.0,974.0,0
170,45,195.0,208.0,0
175,45,250.0,290.0,0
180,45,480.0,540.0,0
185,45,416.0,451.0,0
190,45,1562.0,1442.0,0
195,45,3982.0,3942.0,0
200,45,1770.0,2512.0,0
205,45,1416.0,1978.0,0
210,45,5083.0,5120.0,0
215,45,1232.0,1338.0,0
220,45,786.0,2518.0,1
225,45,795.0,2797.0,1
230,45,779.0,2527.0,1
235,45,1098.0,1636.0,0
240,45,846.0,930.0,0
245,45,1414.0,1706.0,0
250,45,1161.0,1076.0,0
255,45,2826.0,3135.0,0
260,45,1122.0,1904.0,0
265,45,432.0,835.0,1
270,45,552.0,1274.0,1
275,45,517.0,1812.0,1
280,45,1185.0,1785.0,0
285,45,311.0,894.0,1
290,45,543.0,1615.0,1
295,45,578.0,1759.0,1
300,45,581.0,984.0,0
10,50,636.0,1781.0,1
15,50,632.0,1060.0,0
20,50,189.0,229.0,0
25,50,166.0,238.0,0
30,50,177.0,214.0,0
35,50,467.0,945.0,1
40,50,414.0,1080.0,1
45,50,387.0,1252.0,1
50,50,1053.0,2504.0,1
