Patch,NDVI_2023,NDVI_2024,Change,Class_2023,Class_2024
"(40:50,230:240)",0.3003033750443958,0.2975270155306868,-0.002776359513709026,land,vegetation
"(40:50,240:250)",0.004775480724224967,0.03960349801632101,0.034828017292096045,land,land
"(40:50,250:260)",0.040663647716976614,0.06947578187080614,0.02881213415382952,land,land
"(40:50,260:270)",0.30271215986090705,0.28883341901507864,-0.013878740845828408,land,vegetation
"(40:50,270:280)",0.4518581158001772,0.44226238386331496,-0.00959573193686225,vegetation,vegetation
"(40:50,280:290)",0.4804361151265028,0.46016933111510916,-0.020266784011393646,vegetation,vegetation
"(40:50,290:300)",0.3992362844798664,0.38555502739907865,-0.013681257080787768,vegetation,vegetation
"(40:50,300:310)",0.316977748629805,0.3144285057970239,-0.0025492428327810734,vegetation,vegetation
"(50:60,0:10)",0.17604153933529143,0.1198764591930279,-0.056165080142263527,land,land
"(50:60,10:20)",0.26961802021917025,0.1732349038346346,-0.09638311638453564,land,land
"(50:60,20:30)",0.19200749086532093,0.08585691726104568,-0.10615057360427525,land,land
"(50:60,30:40)",0.19130109754181357,0.11501257231270264,-0.07628852522911093,land,land
"(50:60,40:50)",0.28522025225174885,0.23194573797126578,-0.053274514280483076,land,land
"(50:60,50:60)",0.2191624736282425,0.18883512238220526,-0.03032735124603725,land,land
"(50:60,60:70)",0.355375945534562,0.2993623949274731,-0.0560135506070889,vegetation,vegetation
"(50:60,70:80)",0.41986589895457194,0.3993179876751075,-0.020547911279464426,vegetation,vegetation
"(50:60,80:90)",0.4419776128668088,0.4211075424193727,-0.020870070447436107,vegetation,vegetation
"(50:60,90:100)",0.29416493822311035,0.26942846407536664,-0.024736474147743714,land,land
"(50:60,100:110)",0.27723620957545697,0.18482761933042582,-0.09240859024503115,land,land
"(50:60,110:120)",0.3729422771900083,0.26627743348387367,-0.1066648437061346,vegetation,land
"(50:60,120:130)",0.2463915402887522,0.19955439167964792,-0.04683714860910429,land,land
"(50:60,130:140)",0.056157577951198634,0.04809459004088592,-0.008062987910312715,land,land
"(50:60,140:150)",0.18087675721264473,0.17394240971496697,-0.0069343474976777675,land,land
"(50:60,150:160)",0.2626261561456986,0.22928607865813205,-0.033340077487566566,land,land
"(50:60,160:170)",0.039794531449862496,0.10832499271781054,0.06853046126794804,land,land
"(50:60,170:180)",0.07490267369823943,0.12343564535198052,0.0485329716537411,land,land
"(50:60,180:190)",0.2750383500677035,0.27013351422318704,-0.004904835844516453,land,land
"(50:60,190:200)",0.3425661909580593,0.30522362525688657,-0.037342565701172725,vegetation,vegetation
"(50:60,200:210)",0.10417652858492983,0.10867257140985405,0.004496042824924218,land,land
"(50:60,210:220)",0.2381823905122974,0.2475280958642616,0.009345705351964217,land,land
"(50:60,220:230)",0.3496092129594117,0.31391215938264055,-0.035697053576771165,vegetation,vegetation
"(50:60,230:240)",0.1680010708640582,0.1920859042361286,0.024084833372070402,land,land
"(50:60,240:250)",0.022988421461549315,0.09226392162943671,0.06927550016788739,land,land
"(50:60,250:260)",-0.011451421286773423,0.01601788536046084,0.027469306647234265,land,land
"(50:60,260:270)",0.10386020643960862,0.09887324662441763,-0.004986959815190997,land,land
"(50:60,270:280)",0.33020699465181297,0.30920952778801386,-0.020997466863799108,vegetation,vegetation
"(50:60,280:290)",0.39745326706818723,0.38957098706178284,-0.007882280006404396,vegetation,vegetation
"(50:60,290:300)",0.40560402613190527,0.37979515357989674,-0.025808872552008533,vegetation,vegetation
"(50:60,300:310)",0.5032624250813365,0.4904366207646804,-0.012825804316656031,vegetation,vegetation
"(60:70,0:10)",0.22485153341308264,0.12362910143825818,-0.10122243197482446,land,land
"(60:70,10:20)",0.03962345588428309,0.03482678649767635,-0.004796669386606743,land,land
"(60:70,20:30)",-0.020161954246490782,-0.014693217336246917,0.005468736910243865,land,land
"(60:70,30:40)",0.008049764510093576,-0.009639901403490796,-0.01768966591358437,land,land
"(60:70,40:50)",0.22040555581905205,0.16563740165590482,-0.05476815416314723,land,land
"(60:70,50:60)",0.2800346426483764,0.23447594071613584,-0.04555870193224057,land,land
"(60:70,60:70)",0.29420236446458015,0.2570862416595345,-0.03711612280504567,land,land
"(60:70,70:80)",0.21065494641671784,0.18402935969504386,-0.026625586721673977,land,land
"(60:70,80:90)",0.39831003799887355,0.3846291347049787,-0.01368090329389482,vegetation,vegetation
"(60:70,90:100)",0.41711494744165806,0.3946093835700616,-0.022505563871596468,vegetation,vegetation
"(60:70,100:110)",0.34563667423270966,0.30737363159311676,-0.038263042639592904,vegetation,vegetation
"(60:70,110:120)",0.3223971041278089,0.21463022193877176,-0.10776688218903716,vegetation,land
"(60:70,120:130)",0.32515187013656727,0.25472523348822057,-0.0704266366483467,vegetation,land
"(60:70,130:140)",0.06888752419077698,0.07025203457695266,0.001364510386175674,land,land
"(60:70,140:150)",-0.006514536895479403,0.009693809906618086,0.016208346802097488,land,land
"(60:70,150:160)",0.008554853967680975,0.06991734222103524,0.06136248825335426,land,land
"(60:70,160:170)",0.055875924932318924,0.11443234195854167,0.058556417026222746,land,land
"(60:70,170:180)",0.29206021942631755,0.30141318834816483,0.009352968921847282,land,vegetation
"(60:70,180:190)",0.39727938784335415,0.3770640778285633,-0.02021531001479082,vegetation,vegetation
"(60:70,190:200)",0.4063144200021107,0.3918034592178988,-0.014510960784211935,vegetation,vegetation
"(60:70,200:210)",0.3891777416376162,0.3921719558693102,0.0029942142316939924,vegetation,vegetation
"(60:70,210:220)",0.4549186392668228,0.44688790559596137,-0.008030733670861434,vegetation,vegetation
"(60:70,220:230)",0.35384253143745836,0.3202008984617653,-0.03364163297569306,vegetation,vegetation
"(60:70,230:240)",0.05063126254503972,0.07453815393120652,0.023906891386166806,land,land
